source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,l,b,teff_val,a_g_val
1995011660463256704,359.1835807307786,0.06557513668614813,56.62010262298449,0.05464365744854971,0.5202692860895057,0.08799293095824041,17.331532,1.238308,,,NOT_AVAILABLE,115.42350785067643,-5.452063490247974,,
1995011243846177792,359.10895842110284,0.10304400418818183,56.58933283695862,0.07980214714965031,0.4233220822554696,0.1345204712785415,17.997095,1.336607,,,NOT_AVAILABLE,115.37663355986165,-5.473429007757681,,
1995037017951288960,358.9172659197512,0.06998219581383515,56.67042998293249,0.06846990032195394,0.4318238138866072,0.10730533889095052,17.582703,1.4928951,,,NOT_AVAILABLE,115.29060110269438,-5.371651108424006,,
1995059592299915264,359.081685757098,0.03325578587428251,56.68040171291789,0.030011747655855976,0.13636145502687608,0.04653833232831418,16.066357,0.71113396,,,NOT_AVAILABLE,115.38136959709627,-5.3812537022861715,6293.5,
1995021315549531776,359.52513810730886,0.02650344067406078,56.83329455412632,0.022684585922075666,0.4607375848701037,0.03370803529467155,12.657295,1.4898777,-53.65547602399752,0.8873432175984437,NOT_AVAILABLE,115.65227691091104,-5.282688133285325,4399.5,0.5507
1995021418628746752,359.604592450293,0.027106676719482137,56.85094813764502,0.022916664552807386,0.6182715598259765,0.03447011758335185,11.433671,1.4654398,-21.385922689426764,0.2954138062922902,NOT_AVAILABLE,115.69863144897442,-5.274343320135165,4393.495,0.6697
1995017089293578368,359.6102412922538,0.13487606313541525,56.7640315721025,0.09183449262399812,0.11080506864824247,0.17269685999060388,18.196106,1.0526295,,,NOT_AVAILABLE,115.68378535553695,-5.360049440711637,,
1995059557940176768,359.03413892525094,0.05514628093933158,56.67070112628809,0.04737805312704635,0.23002535360631307,0.07944095480791213,16.84,1.1692791,,,NOT_AVAILABLE,115.35365830165054,-5.385160621962541,4875.0,
1995013236705909120,359.2437169993367,0.06615823183580287,56.71971592490984,0.06047879374141204,0.2914480319490667,0.08821521381673918,17.4064,1.2663231,,,NOT_AVAILABLE,115.47705427903932,-5.3616596315560034,,
1995021796585869056,359.63323086694186,0.057877631854536066,56.85707444542277,0.05185497111740686,0.16615912877046482,0.07992264939802408,17.055676,0.99412537,,,NOT_AVAILABLE,115.7152831664435,-5.2715522415335405,5317.3335,
1995016917503155840,359.52689827971983,0.0626904565084045,56.73914043772302,0.053707125109234345,0.35529437277739484,0.08691419767169076,17.336681,1.2775555,,,NOT_AVAILABLE,115.6337314431458,-5.3750188402352785,,
1995013515889054080,359.37312105646225,0.02463828820536403,56.7065201778296,0.02275961765658796,0.4085874271996905,0.03361760854299206,12.325565,1.4715443,-53.294004286620144,0.7168551349556438,NOT_AVAILABLE,115.54403053675576,-5.38943843419635,4389.3335,0.516
1995012519456376832,359.02280938286054,0.07050752393763225,56.637556583267276,0.0645117800489711,0.48153604908481906,0.11349231725587505,17.540009,1.3128319,,,NOT_AVAILABLE,115.3404324457203,-5.416208520292765,,
1995015951125238656,359.56718927250193,0.09088113888852839,56.70974536887838,0.07122159012030117,0.3088952128771766,0.11531768185845036,17.884079,1.3956642,,,NOT_AVAILABLE,115.64938291666542,-5.408334797329278,,
1995013687687745792,359.3214967230511,0.03570706448803602,56.694953162572496,0.03470767931150771,0.547599501957555,0.049985772102172726,15.904599,,,,NOT_AVAILABLE,115.51376334352364,-5.394830393993181,,
1995010354793197824,359.2944554867988,0.03582654406897742,56.64544994322667,0.034043237471569315,0.3059264017457896,0.050703348829308874,16.17054,1.1745615,,,NOT_AVAILABLE,115.48875347589157,-5.440122898763914,4941.0625,
1995061031102177792,359.0866044483987,0.10113103714266548,56.76300462725209,0.08517094805285008,0.4805144199741119,0.12939896275721607,17.761108,1.4176846,,,NOT_AVAILABLE,115.40167638051592,-5.301117983758995,,
1995061791318853248,359.3314182650769,0.034304706310785596,56.76757409235182,0.051108609378647536,0.2293694528839256,0.05657753020724299,15.914531,,,,NOT_AVAILABLE,115.5343662781787,-5.324954470904598,,
1995012588175853824,359.0887083665546,0.021237319647684265,56.65240539447511,0.018403190264561962,0.43902461652331226,0.031056785852223885,14.438826,0.89991283,,,NOT_AVAILABLE,115.37917151377216,-5.409429879787874,5557.36,
1995037121030502656,358.9508493670765,0.050595259617493164,56.679457001228975,0.04791109368365853,0.4873584264910789,0.0745077743170366,16.757662,1.1718273,,,NOT_AVAILABLE,115.31064938115452,-5.366804623376748,4908.0,
1995021418628746240,359.60181306988346,0.12182936809855217,56.85150888980861,0.08775117889524708,0.013745174379882293,0.15574650600743037,17.924252,1.1730366,,,NOT_AVAILABLE,115.69725299331431,-5.273482989635709,,
1995012794334284160,359.1298446238405,0.0850295372365046,56.66138601001956,0.07412850966192189,0.5171633243660407,0.11358549069967974,17.758188,1.1925278,,,NOT_AVAILABLE,115.40328133514846,-5.405458789105203,,
1995012450736901760,359.01666520760585,0.04183303787558482,56.630884485742364,0.03684733520683924,0.5031214394835165,0.06019972652890508,16.479177,1.1300068,,,NOT_AVAILABLE,115.33568339508403,-5.4220036436399255,4939.9,0.805
1995012725615072128,359.15205473170454,0.13634003400842296,56.65583984565525,0.1143212582036712,0.4999135602383257,0.18054007296220262,18.004059,1.5102062,,,NOT_AVAILABLE,115.41408338596183,-5.413466903280143,,
1995013614662894336,359.2707155675914,0.12999551484412858,56.68615779641044,0.09347357136188615,0.9196294969225136,0.1612599646277274,18.114552,1.8359795,,,NOT_AVAILABLE,115.48452254483907,-5.397583790530489,,
1995020147318501888,359.52155013127395,0.07160671645306119,56.7721051451877,0.05828999148674234,-0.053731712550842116,0.09344872362997789,17.460382,1.2470932,,,NOT_AVAILABLE,115.63767627508273,-5.34215788952015,,
1995040591363992576,358.9245186209664,0.04145734887173989,56.744459631854205,0.03366144967878006,0.48345696143299144,0.054592792852935626,16.371006,1.1193972,,,NOT_AVAILABLE,115.31051482146711,-5.300215042950114,4934.77,0.782
1995010629671104512,359.41040467132063,0.015292092136418007,56.671556708992306,0.013536415148704833,0.4203118524019184,0.02152118938647251,13.591179,1.0500984,,,NOT_AVAILABLE,115.55683485751118,-5.427898762568482,5427.3447,
1995013614662894208,359.27592063192674,0.07091401083916349,56.6873280712016,0.06132622586899771,0.40051443107236945,0.09689799741294033,17.334412,1.2660732,,,NOT_AVAILABLE,115.487576802063,-5.397039926337406,,
1995010354793197696,359.28685443371694,0.020252956976773134,56.64372150060363,0.019269622920943648,0.454236532715136,0.02842809825328831,14.664384,0.73748493,,,NOT_AVAILABLE,115.48428447881552,-5.440936295069707,6079.7866,
1995021590427438464,359.64654807914314,0.02129256810078161,56.860318113927796,0.01802991241153303,0.28539919956586535,0.028334841090550816,14.647904,0.8579807,,,NOT_AVAILABLE,115.72310611624295,-5.269865129492026,5602.2993,
1995059764098606080,359.03624163727784,0.12336567381451828,56.67796661991649,0.09166188281448001,0.546852080907013,0.16296029478501942,18.059168,1.5643139,,,NOT_AVAILABLE,115.35635064124128,-5.37830956272849,,
1995021315549532800,359.5248548818592,0.12482296161366026,56.83191493975158,0.08919094720947753,0.19294991671325626,0.15290507675061313,17.964918,1.2076416,,,NOT_AVAILABLE,115.65183903782976,-5.284006176477814,,
1995011553083058304,359.070892239204,0.07228097157899543,56.60602619695008,0.06708614937700043,0.2147863438250069,0.10490156695415932,17.4674,1.3797283,,,NOT_AVAILABLE,115.35963266250545,-5.4526585764801805,,
1995021624787177984,359.68449457281565,0.07861639154496514,56.867495296707496,0.06503887959862202,0.04598493815131693,0.1041615817915176,17.624079,1.4469719,,,NOT_AVAILABLE,115.74496909948837,-5.267070382821589,,
1995020486611195648,359.63972535105853,0.08561690983563686,56.804897314946665,0.06679048130246519,0.2053698103782983,0.1139696826592926,17.699696,1.4928894,,,NOT_AVAILABLE,115.7080628250919,-5.323353682085328,,
1995012588175855360,359.0715155431517,0.07547943347960606,56.64284936543856,0.06832561907818299,0.3337061074426761,0.11336048838079874,17.669825,1.3020058,,,NOT_AVAILABLE,115.36785064401367,-5.416754065570858,,
1995059695379129216,359.09403832627896,0.023465051621091963,56.692088373465054,0.021220942862181087,0.4736734632049734,0.032528191376244193,15.217823,0.9361048,,,NOT_AVAILABLE,115.39052572770882,-5.371278418234921,5263.4,
1995061619524750336,359.2331641646946,0.04409267653039522,56.81567847362943,0.03848768310265382,0.40944481316605796,0.05800386808124218,16.587225,1.1070604,,,NOT_AVAILABLE,115.49166306678782,-5.266629786145352,5061.1504,
1995012141499519104,359.245475093176,0.08059707811254467,56.678055774965216,0.06862470818815415,0.38594273432291815,0.10752351908600045,17.66937,1.3026142,,,NOT_AVAILABLE,115.46919690471904,-5.402590117384985,,
